wavelength_m,flux_arb
7.17E-07,2.09261E+13
7.18E-07,2.08498E+13
7.19E-07,2.07739E+13
7.21E-07,2.06982E+13
7.22E-07,2.06228E+13
7.24E-07,2.05476E+13
7.25E-07,2.04728E+13
7.27E-07,2.03982E+13
7.28E-07,2.03239E+13
7.30E-07,2.02498E+13
7.31E-07,2.0176E+13
7.33E-07,2.01025E+13
7.34E-07,2.00293E+13
7.35E-07,1.99564E+13
7.37E-07,1.98837E+13
7.38E-07,1.98113E+13
7.40E-07,1.97391E+13
7.41E-07,1.96673E+13
7.43E-07,1.95957E+13
7.44E-07,1.95243E+13
7.46E-07,1.94533E+13
7.47E-07,1.93825E+13
7.48E-07,1.93119E+13
7.50E-07,1.92416E+13
7.51E-07,1.91716E+13
7.53E-07,1.91019E+13
7.54E-07,1.90324E+13
7.56E-07,1.89632E+13
7.57E-07,1.88943E+13
7.59E-07,1.88256E+13
7.60E-07,1.87571E+13
7.62E-07,1.8689E+13
7.63E-07,1.86211E+13
7.64E-07,1.85534E+13
7.66E-07,1.8486E+13
7.67E-07,1.84189E+13
7.69E-07,1.8352E+13
7.70E-07,1.82854E+13
7.72E-07,1.8219E+13
7.73E-07,1.81529E+13
7.75E-07,1.8087E+13
7.76E-07,1.80214E+13
7.77E-07,1.79561E+13
7.79E-07,1.7891E+13
7.80E-07,1.78261E+13
7.82E-07,1.77615E+13
7.83E-07,1.76971E+13
7.85E-07,1.7633E+13
7.86E-07,1.75692E+13
7.88E-07,1.75056E+13
7.89E-07,1.74422E+13
7.91E-07,1.73791E+13
7.92E-07,1.73162E+13
7.93E-07,1.72536E+13
7.95E-07,1.71912E+13
7.96E-07,1.7129E+13
7.98E-07,1.70671E+13
7.99E-07,1.70055E+13
8.01E-07,1.69441E+13
8.02E-07,1.68829E+13
8.04E-07,1.68219E+13
8.05E-07,1.67612E+13
8.07E-07,1.67007E+13
8.08E-07,1.66405E+13
8.09E-07,1.65805E+13
8.11E-07,1.65207E+13
8.12E-07,1.64612E+13
8.14E-07,1.64019E+13
8.15E-07,1.63428E+13
8.17E-07,1.6284E+13
8.18E-07,1.62254E+13
8.20E-07,1.6167E+13
8.21E-07,1.61089E+13
8.22E-07,1.6051E+13
8.24E-07,1.59933E+13
8.25E-07,1.59358E+13
8.27E-07,1.58786E+13
8.28E-07,1.58215E+13
8.30E-07,1.57648E+13
8.31E-07,1.57082E+13
8.33E-07,1.56518E+13
8.34E-07,1.55957E+13
8.36E-07,1.55398E+13
8.37E-07,1.54841E+13
8.38E-07,1.54287E+13
8.40E-07,1.53734E+13
8.41E-07,1.53184E+13
8.43E-07,1.52636E+13
8.44E-07,1.5209E+13
8.46E-07,1.51546E+13
8.47E-07,1.51005E+13
8.49E-07,1.50465E+13
8.50E-07,1.49928E+13
8.51E-07,1.49393E+13
8.53E-07,1.48859E+13
8.54E-07,1.48328E+13
8.56E-07,1.478E+13
8.57E-07,1.47273E+13
8.59E-07,1.46748E+13
8.60E-07,1.46225E+13
8.62E-07,1.45705E+13
8.63E-07,1.45186E+13
8.65E-07,1.4467E+13
8.66E-07,1.44155E+13
8.67E-07,1.43643E+13
8.69E-07,1.43133E+13
8.70E-07,1.42624E+13
8.72E-07,1.42118E+13
8.73E-07,1.41614E+13
8.75E-07,1.41111E+13
8.76E-07,1.40611E+13
8.78E-07,1.40113E+13
8.79E-07,1.39616E+13
8.80E-07,1.39122E+13
8.82E-07,1.38629E+13
8.83E-07,1.38139E+13
8.85E-07,1.3765E+13
8.86E-07,1.37164E+13
8.88E-07,1.36679E+13
8.89E-07,1.36196E+13
8.91E-07,1.35715E+13
8.92E-07,1.35236E+13
8.94E-07,1.34759E+13
8.95E-07,1.34284E+13
8.96E-07,1.33811E+13
8.98E-07,1.3334E+13
8.99E-07,1.3287E+13
9.01E-07,1.32402E+13
9.02E-07,1.31937E+13
9.04E-07,1.31473E+13
9.05E-07,1.31011E+13
9.07E-07,1.3055E+13
9.08E-07,1.30092E+13
9.10E-07,1.29635E+13
9.11E-07,1.2918E+13
9.12E-07,1.28727E+13
9.14E-07,1.28276E+13
9.15E-07,1.27827E+13
9.17E-07,1.27379E+13
9.18E-07,1.26933E+13
9.20E-07,1.26489E+13
9.21E-07,1.26047E+13
9.23E-07,1.25606E+13
9.24E-07,1.25167E+13
9.25E-07,1.2473E+13
9.27E-07,1.24295E+13
9.28E-07,1.23861E+13
9.30E-07,1.23429E+13
9.31E-07,1.22999E+13
9.33E-07,1.22571E+13
9.34E-07,1.22144E+13
9.36E-07,1.21719E+13
9.37E-07,1.21295E+13
9.39E-07,1.20874E+13
9.40E-07,1.20454E+13
9.41E-07,1.20035E+13
9.43E-07,1.19618E+13
9.44E-07,1.19203E+13
9.46E-07,1.1879E+13
9.47E-07,1.18378E+13
9.49E-07,1.17968E+13
9.50E-07,1.17559E+13
9.52E-07,1.17152E+13
9.53E-07,1.16747E+13
9.54E-07,1.16343E+13
9.56E-07,1.15941E+13
9.57E-07,1.15541E+13
9.59E-07,1.15142E+13
9.60E-07,1.14744E+13
9.62E-07,1.14349E+13
9.63E-07,1.13954E+13
9.65E-07,1.13562E+13
9.66E-07,1.1317E+13
9.68E-07,1.12781E+13
9.69E-07,1.12393E+13
9.70E-07,1.12006E+13
9.72E-07,1.11621E+13
9.73E-07,1.11238E+13
9.75E-07,1.10856E+13
9.76E-07,1.10475E+13
9.78E-07,1.10096E+13
9.79E-07,1.09719E+13
9.81E-07,1.09343E+13
9.82E-07,1.08969E+13
9.83E-07,1.08596E+13
9.85E-07,1.08224E+13
9.86E-07,1.07854E+13
9.88E-07,1.07485E+13
9.89E-07,1.07118E+13
9.91E-07,1.06752E+13
9.92E-07,1.06388E+13
9.94E-07,1.06025E+13
9.95E-07,1.05664E+13
9.97E-07,1.05304E+13
9.98E-07,1.04945E+13
9.99E-07,1.04588E+13
1.00E-06,1.04232E+13
1.00E-06,1.03878E+13
1.00E-06,1.03525E+13
1.01E-06,1.03173E+13
1.01E-06,1.02823E+13
1.01E-06,1.02474E+13
1.01E-06,1.02127E+13
1.01E-06,1.01781E+13
1.01E-06,1.01436E+13
1.01E-06,1.01093E+13
1.02E-06,1.00751E+13
1.02E-06,1.0041E+13
1.02E-06,1.00071E+13
1.02E-06,9.97325E+12
1.02E-06,9.93958E+12
1.02E-06,9.90604E+12
1.02E-06,9.87263E+12
1.03E-06,9.83935E+12
1.03E-06,9.8062E+12
1.03E-06,9.77318E+12
1.03E-06,9.7403E+12
1.03E-06,9.70754E+12
1.03E-06,9.6749E+12
1.03E-06,9.6424E+12
1.04E-06,9.61002E+12
1.04E-06,9.57777E+12
1.04E-06,9.54564E+12
1.04E-06,9.51364E+12
1.04E-06,9.48177E+12
1.04E-06,9.45001E+12
1.04E-06,9.41839E+12
1.05E-06,9.38688E+12
1.05E-06,9.3555E+12
1.05E-06,9.32424E+12
1.05E-06,9.2931E+12
1.05E-06,9.26209E+12
1.05E-06,9.23119E+12
1.05E-06,9.20041E+12
1.06E-06,9.16976E+12
1.06E-06,9.13922E+12
1.06E-06,9.1088E+12
1.06E-06,9.0785E+12
1.06E-06,9.04832E+12
1.06E-06,9.01825E+12
1.06E-06,8.9883E+12
1.07E-06,8.95847E+12
1.07E-06,8.92875E+12
1.07E-06,8.89915E+12
1.07E-06,8.86967E+12
1.07E-06,8.84029E+12
1.07E-06,8.81103E+12
1.07E-06,8.78189E+12
1.08E-06,8.75285E+12
1.08E-06,8.72393E+12
1.08E-06,8.69512E+12
1.08E-06,8.66642E+12
1.08E-06,8.63784E+12
1.08E-06,8.60936E+12
1.09E-06,8.58099E+12
1.09E-06,8.55274E+12
1.09E-06,8.52459E+12
1.09E-06,8.49655E+12
1.09E-06,8.46862E+12
1.09E-06,8.44079E+12
1.09E-06,8.41307E+12
1.10E-06,8.38546E+12
1.10E-06,8.35796E+12
1.10E-06,8.33056E+12
1.10E-06,8.30327E+12
1.10E-06,8.27608E+12
1.10E-06,8.249E+12
1.10E-06,8.22202E+12
1.11E-06,8.19514E+12
1.11E-06,8.16837E+12
1.11E-06,8.1417E+12
1.11E-06,8.11513E+12
1.11E-06,8.08866E+12
1.11E-06,8.0623E+12
1.11E-06,8.03604E+12
1.12E-06,8.00987E+12
1.12E-06,7.98381E+12
1.12E-06,7.95785E+12
1.12E-06,7.93198E+12
1.12E-06,7.90622E+12
1.12E-06,7.88055E+12
1.12E-06,7.85499E+12
1.13E-06,7.82951E+12
1.13E-06,7.80414E+12
1.13E-06,7.77886E+12
1.13E-06,7.75368E+12
1.13E-06,7.7286E+12
1.13E-06,7.70361E+12
1.13E-06,7.67872E+12
1.14E-06,7.65392E+12
1.14E-06,7.62921E+12
1.14E-06,7.6046E+12
1.14E-06,7.58009E+12
1.14E-06,7.55566E+12
1.14E-06,7.53133E+12
1.14E-06,7.5071E+12
1.15E-06,7.48295E+12
1.15E-06,7.45889E+12
1.15E-06,7.43493E+12
1.15E-06,7.41106E+12
1.15E-06,7.38728E+12
1.15E-06,7.36358E+12
1.15E-06,7.33998E+12
1.16E-06,7.31647E+12
1.16E-06,7.29305E+12
1.16E-06,7.26971E+12
1.16E-06,7.24646E+12
1.16E-06,7.2233E+12
1.16E-06,7.20023E+12
1.16E-06,7.17725E+12
1.17E-06,7.15435E+12
1.17E-06,7.13154E+12
1.17E-06,7.10881E+12
1.17E-06,7.08617E+12
1.17E-06,7.06362E+12
1.17E-06,7.04115E+12
1.17E-06,7.01876E+12
1.18E-06,6.99646E+12
1.18E-06,6.97425E+12
1.18E-06,6.95211E+12
1.18E-06,6.93006E+12
1.18E-06,6.9081E+12
1.18E-06,6.88621E+12
1.19E-06,6.86441E+12
1.19E-06,6.84269E+12
1.19E-06,6.82105E+12
1.19E-06,6.79949E+12
1.19E-06,6.77801E+12
1.19E-06,6.75661E+12
1.19E-06,6.7353E+12
1.20E-06,6.71406E+12
1.20E-06,6.6929E+12
1.20E-06,6.67182E+12
1.20E-06,6.65082E+12
1.20E-06,6.6299E+12
1.20E-06,6.60906E+12
1.20E-06,6.58829E+12
1.21E-06,6.5676E+12
1.21E-06,6.54699E+12
1.21E-06,6.52646E+12
1.21E-06,6.506E+12
1.21E-06,6.48562E+12
1.21E-06,6.46531E+12
1.21E-06,6.44508E+12
1.22E-06,6.42492E+12
1.22E-06,6.40484E+12
1.22E-06,6.38484E+12
1.22E-06,6.36491E+12
1.22E-06,6.34505E+12
1.22E-06,6.32526E+12
1.22E-06,6.30555E+12
1.23E-06,6.28592E+12
1.23E-06,6.26635E+12
1.23E-06,6.24686E+12
1.23E-06,6.22744E+12
1.23E-06,6.20809E+12
1.23E-06,6.18881E+12
1.23E-06,6.16961E+12
1.24E-06,6.15047E+12
1.24E-06,6.13141E+12
1.24E-06,6.11241E+12
1.24E-06,6.09349E+12
1.24E-06,6.07464E+12
1.24E-06,6.05585E+12
1.24E-06,6.03714E+12
1.25E-06,6.01849E+12
1.25E-06,5.99991E+12
1.25E-06,5.9814E+12
1.25E-06,5.96296E+12
1.25E-06,5.94459E+12
1.25E-06,5.92628E+12
1.25E-06,5.90804E+12
1.26E-06,5.88987E+12
1.26E-06,5.87176E+12
1.26E-06,5.85372E+12
1.26E-06,5.83575E+12
1.26E-06,5.81784E+12
1.26E-06,5.8E+12
1.26E-06,5.78222E+12
1.27E-06,5.76451E+12
1.27E-06,5.74687E+12
1.27E-06,5.72928E+12
1.27E-06,5.71177E+12
1.27E-06,5.69431E+12
1.27E-06,5.67692E+12
1.28E-06,5.65959E+12
1.28E-06,5.64233E+12
1.28E-06,5.62513E+12
1.28E-06,5.60799E+12
1.28E-06,5.59091E+12
1.28E-06,5.5739E+12
1.28E-06,5.55695E+12
1.29E-06,5.54006E+12
1.29E-06,5.52323E+12
1.29E-06,5.50646E+12
1.29E-06,5.48975E+12
1.29E-06,5.47311E+12
1.29E-06,5.45652E+12
1.29E-06,5.43999E+12
1.30E-06,5.42353E+12
1.30E-06,5.40712E+12
1.30E-06,5.39077E+12
1.30E-06,5.37449E+12
1.30E-06,5.35826E+12
1.30E-06,5.34209E+12
1.30E-06,5.32597E+12
1.31E-06,5.30992E+12
1.31E-06,5.29392E+12
1.31E-06,5.27798E+12
1.31E-06,5.2621E+12
1.31E-06,5.24628E+12
1.31E-06,5.23051E+12
1.31E-06,5.2148E+12
1.32E-06,5.19915E+12
1.32E-06,5.18355E+12
1.32E-06,5.16801E+12
1.32E-06,5.15252E+12
1.32E-06,5.13709E+12
1.32E-06,5.12172E+12
1.32E-06,5.1064E+12
1.33E-06,5.09113E+12
1.33E-06,5.07592E+12
1.33E-06,5.06077E+12
1.33E-06,5.04567E+12
1.33E-06,5.03062E+12
1.33E-06,5.01563E+12
1.33E-06,5.00069E+12
1.34E-06,4.9858E+12
1.34E-06,4.97097E+12
1.34E-06,4.95618E+12
1.34E-06,4.94146E+12
1.34E-06,4.92678E+12
1.34E-06,4.91216E+12
1.34E-06,4.89759E+12
1.35E-06,4.88307E+12
1.35E-06,4.8686E+12
1.35E-06,4.85419E+12
1.35E-06,4.83982E+12
1.35E-06,4.82551E+12
1.35E-06,4.81124E+12
1.35E-06,4.79703E+12
1.36E-06,4.78287E+12
1.36E-06,4.76876E+12
1.36E-06,4.7547E+12
1.36E-06,4.74068E+12
1.36E-06,4.72672E+12
1.36E-06,4.71281E+12
1.37E-06,4.69894E+12
1.37E-06,4.68513E+12
1.37E-06,4.67136E+12
1.37E-06,4.65765E+12
1.37E-06,4.64398E+12
1.37E-06,4.63036E+12
1.37E-06,4.61678E+12
1.38E-06,4.60326E+12
1.38E-06,4.58978E+12
1.38E-06,4.57635E+12
1.38E-06,4.56297E+12
1.38E-06,4.54963E+12
1.38E-06,4.53635E+12
1.38E-06,4.5231E+12
1.39E-06,4.50991E+12
1.39E-06,4.49676E+12
1.39E-06,4.48366E+12
1.39E-06,4.4706E+12
1.39E-06,4.45759E+12
1.39E-06,4.44462E+12
1.39E-06,4.4317E+12
1.40E-06,4.41883E+12
1.40E-06,4.406E+12
1.40E-06,4.39321E+12
1.40E-06,4.38047E+12
1.40E-06,4.36777E+12
1.40E-06,4.35512E+12
1.40E-06,4.34251E+12
1.41E-06,4.32995E+12
1.41E-06,4.31743E+12
1.41E-06,4.30495E+12
1.41E-06,4.29252E+12
1.41E-06,4.28013E+12
1.41E-06,4.26778E+12
1.41E-06,4.25548E+12
1.42E-06,4.24322E+12
1.42E-06,4.231E+12
1.42E-06,4.21882E+12
1.42E-06,4.20669E+12
1.42E-06,4.1946E+12
1.42E-06,4.18255E+12
1.42E-06,4.17054E+12
1.43E-06,4.15857E+12
1.43E-06,4.14665E+12
1.43E-06,4.13476E+12
1.43E-06,4.12292E+12
1.43E-06,4.11112E+12
1.43E-06,4.09936E+12
1.43E-06,4.08764E+12
1.44E-06,4.07596E+12
1.44E-06,4.06432E+12
1.44E-06,4.05272E+12
1.44E-06,4.04116E+12
1.44E-06,4.02963E+12
1.44E-06,4.01815E+12
1.44E-06,4.00671E+12
1.45E-06,3.99531E+12
1.45E-06,3.98395E+12
1.45E-06,3.97262E+12
